source_task,target_task,accuracy_k0,accuracy_k_last,max_drop_from_k0,plot_file
ceo_lastname,ceo_lastname,0.9167,0.0000,0.9167,curve_ceo_lastname__to__ceo_lastname.png
ceo_lastname,employees_count_total,0.9583,0.0000,0.9583,curve_ceo_lastname__to__employees_count_total.png
ceo_lastname,headquarters_city,0.9583,0.2083,0.7500,curve_ceo_lastname__to__headquarters_city.png
ceo_lastname,headquarters_state,0.8333,0.3750,0.4583,curve_ceo_lastname__to__headquarters_state.png
ceo_lastname,holder_record_amount,0.7917,0.1667,0.6250,curve_ceo_lastname__to__holder_record_amount.png
ceo_lastname,incorporation_state,1.0000,0.2917,0.7917,curve_ceo_lastname__to__incorporation_state.png
ceo_lastname,incorporation_year,0.8333,0.0000,0.8333,curve_ceo_lastname__to__incorporation_year.png
ceo_lastname,registrant_name,1.0000,0.0000,1.0000,curve_ceo_lastname__to__registrant_name.png
employees_count_total,ceo_lastname,0.9167,0.0000,0.9167,curve_employees_count_total__to__ceo_lastname.png
employees_count_total,employees_count_total,0.9583,0.0000,0.9583,curve_employees_count_total__to__employees_count_total.png
employees_count_total,headquarters_city,0.9583,0.4167,0.9167,curve_employees_count_total__to__headquarters_city.png
employees_count_total,headquarters_state,0.8333,0.6667,0.7917,curve_employees_count_total__to__headquarters_state.png
employees_count_total,holder_record_amount,0.7917,0.2083,0.7083,curve_employees_count_total__to__holder_record_amount.png
employees_count_total,incorporation_state,1.0000,0.3333,0.6667,curve_employees_count_total__to__incorporation_state.png
employees_count_total,incorporation_year,0.8333,0.0417,0.8333,curve_employees_count_total__to__incorporation_year.png
employees_count_total,registrant_name,1.0000,0.0417,1.0000,curve_employees_count_total__to__registrant_name.png
headquarters_city,ceo_lastname,0.9167,0.0000,0.9167,curve_headquarters_city__to__ceo_lastname.png
headquarters_city,employees_count_total,0.9583,0.0000,0.9583,curve_headquarters_city__to__employees_count_total.png
headquarters_city,headquarters_city,0.9583,0.2500,0.7917,curve_headquarters_city__to__headquarters_city.png
headquarters_city,headquarters_state,0.8333,0.4583,0.4583,curve_headquarters_city__to__headquarters_state.png
headquarters_city,holder_record_amount,0.7917,0.2083,0.5833,curve_headquarters_city__to__holder_record_amount.png
headquarters_city,incorporation_state,1.0000,0.2083,0.7917,curve_headquarters_city__to__incorporation_state.png
headquarters_city,incorporation_year,0.8333,0.0417,0.7917,curve_headquarters_city__to__incorporation_year.png
headquarters_city,registrant_name,1.0000,0.0000,1.0000,curve_headquarters_city__to__registrant_name.png
headquarters_state,ceo_lastname,0.9167,0.0000,0.9167,curve_headquarters_state__to__ceo_lastname.png
headquarters_state,employees_count_total,0.9583,0.0417,0.9583,curve_headquarters_state__to__employees_count_total.png
headquarters_state,headquarters_city,0.9583,0.3750,0.7083,curve_headquarters_state__to__headquarters_city.png
headquarters_state,headquarters_state,0.8333,0.2500,0.5833,curve_headquarters_state__to__headquarters_state.png
headquarters_state,holder_record_amount,0.7917,0.2083,0.6250,curve_headquarters_state__to__holder_record_amount.png
headquarters_state,incorporation_state,1.0000,0.3750,0.6250,curve_headquarters_state__to__incorporation_state.png
headquarters_state,incorporation_year,0.8333,0.0417,0.8333,curve_headquarters_state__to__incorporation_year.png
headquarters_state,registrant_name,1.0000,0.0000,1.0000,curve_headquarters_state__to__registrant_name.png
holder_record_amount,ceo_lastname,0.9167,0.0000,0.9167,curve_holder_record_amount__to__ceo_lastname.png
holder_record_amount,employees_count_total,0.9583,0.0000,0.9583,curve_holder_record_amount__to__employees_count_total.png
holder_record_amount,headquarters_city,0.9583,0.0000,0.9583,curve_holder_record_amount__to__headquarters_city.png
holder_record_amount,headquarters_state,0.8333,0.0000,0.8333,curve_holder_record_amount__to__headquarters_state.png
holder_record_amount,holder_record_amount,0.7917,0.0000,0.7917,curve_holder_record_amount__to__holder_record_amount.png
holder_record_amount,incorporation_state,1.0000,0.0000,1.0000,curve_holder_record_amount__to__incorporation_state.png
holder_record_amount,incorporation_year,0.8333,0.0000,0.8333,curve_holder_record_amount__to__incorporation_year.png
holder_record_amount,registrant_name,1.0000,0.0417,1.0000,curve_holder_record_amount__to__registrant_name.png
incorporation_state,ceo_lastname,0.9167,0.0000,0.9167,curve_incorporation_state__to__ceo_lastname.png
incorporation_state,employees_count_total,0.9583,0.0000,0.9583,curve_incorporation_state__to__employees_count_total.png
incorporation_state,headquarters_city,0.9583,0.1250,0.8333,curve_incorporation_state__to__headquarters_city.png
incorporation_state,headquarters_state,0.8333,0.3750,0.5000,curve_incorporation_state__to__headquarters_state.png
incorporation_state,holder_record_amount,0.7917,0.2083,0.6667,curve_incorporation_state__to__holder_record_amount.png
incorporation_state,incorporation_state,1.0000,0.2917,0.7083,curve_incorporation_state__to__incorporation_state.png
incorporation_state,incorporation_year,0.8333,0.0417,0.8333,curve_incorporation_state__to__incorporation_year.png
incorporation_state,registrant_name,1.0000,0.0000,1.0000,curve_incorporation_state__to__registrant_name.png
incorporation_year,ceo_lastname,0.9167,0.0000,0.9167,curve_incorporation_year__to__ceo_lastname.png
incorporation_year,employees_count_total,0.9583,0.0000,0.9583,curve_incorporation_year__to__employees_count_total.png
incorporation_year,headquarters_city,0.9583,0.3750,0.7083,curve_incorporation_year__to__headquarters_city.png
incorporation_year,headquarters_state,0.8333,0.5417,0.7500,curve_incorporation_year__to__headquarters_state.png
incorporation_year,holder_record_amount,0.7917,0.2083,0.6250,curve_incorporation_year__to__holder_record_amount.png
incorporation_year,incorporation_state,1.0000,0.2500,0.7500,curve_incorporation_year__to__incorporation_state.png
incorporation_year,incorporation_year,0.8333,0.0000,0.8333,curve_incorporation_year__to__incorporation_year.png
incorporation_year,registrant_name,1.0000,0.0417,1.0000,curve_incorporation_year__to__registrant_name.png
registrant_name,ceo_lastname,0.9167,0.0000,0.9167,curve_registrant_name__to__ceo_lastname.png
registrant_name,employees_count_total,0.9583,0.0000,0.9583,curve_registrant_name__to__employees_count_total.png
registrant_name,headquarters_city,0.9583,0.0000,0.9583,curve_registrant_name__to__headquarters_city.png
registrant_name,headquarters_state,0.8333,0.0000,0.8333,curve_registrant_name__to__headquarters_state.png
registrant_name,holder_record_amount,0.7917,0.0417,0.7500,curve_registrant_name__to__holder_record_amount.png
registrant_name,incorporation_state,1.0000,0.0000,1.0000,curve_registrant_name__to__incorporation_state.png
registrant_name,incorporation_year,0.8333,0.0000,0.8333,curve_registrant_name__to__incorporation_year.png
registrant_name,registrant_name,1.0000,0.0000,1.0000,curve_registrant_name__to__registrant_name.png
