model,data_source,k,n_pairs,min,q1,median,mean,q3,max,std
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,28,0.230000,0.450000,0.450000,0.516071,0.600000,0.780000,0.150744
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,16,28,0.280000,0.390000,0.450000,0.537143,0.680000,0.880000,0.171836
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,32,28,0.390000,0.490000,0.520000,0.563214,0.640000,1.000000,0.126210
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,48,28,0.390000,0.495000,0.550000,0.573571,0.630000,0.960000,0.128403
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,64,28,0.470000,0.520000,0.550000,0.584643,0.620000,0.910000,0.105305
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,96,28,0.490000,0.590000,0.610000,0.643929,0.680000,0.940000,0.090488
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,128,28,0.590000,0.620000,0.655000,0.678214,0.722500,0.950000,0.083796
Llama-3.1-8B,derived_from_local_topk_rankings,8,28,0.142857,0.333333,0.333333,0.386571,0.454545,1.000000,0.164257
Llama-3.1-8B,derived_from_local_topk_rankings,16,28,0.142857,0.376812,0.454545,0.442730,0.523810,0.777778,0.128772
Llama-3.1-8B,derived_from_local_topk_rankings,32,28,0.185185,0.326531,0.391304,0.422545,0.560976,0.777778,0.151834
Llama-3.1-8B,derived_from_local_topk_rankings,48,28,0.200000,0.333333,0.432836,0.463170,0.601381,0.846154,0.185049
Llama-3.1-8B,derived_from_local_topk_rankings,64,28,0.219048,0.395371,0.446374,0.514433,0.684211,0.910448,0.187998
Llama-3.1-8B,derived_from_local_topk_rankings,96,28,0.254902,0.409188,0.476923,0.540485,0.729730,0.864078,0.182260
Llama-3.1-8B,derived_from_local_topk_rankings,128,28,0.312821,0.452698,0.488372,0.574360,0.753425,0.855072,0.170106
Qwen2.5-7B,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/Qwen__Qwen2.5-7B-Instruct/cross_task_head_similarity_topk.json,8,28,0.142857,0.230769,0.454545,0.460211,0.600000,1.000000,0.223655
Qwen2.5-7B,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/Qwen__Qwen2.5-7B-Instruct/cross_task_head_similarity_topk.json,16,28,0.142857,0.320000,0.523810,0.478626,0.523810,0.882353,0.192018
Qwen2.5-7B,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/Qwen__Qwen2.5-7B-Instruct/cross_task_head_similarity_topk.json,32,28,0.230769,0.361702,0.422222,0.444702,0.523810,0.777778,0.142794
Qwen2.5-7B,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/Qwen__Qwen2.5-7B-Instruct/cross_task_head_similarity_topk.json,48,28,0.246753,0.401681,0.422300,0.471106,0.548387,0.882353,0.145403
Qwen2.5-7B,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/Qwen__Qwen2.5-7B-Instruct/cross_task_head_similarity_topk.json,64,28,0.267327,0.387564,0.438202,0.490896,0.570732,0.882353,0.153584
Qwen2.5-7B,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/Qwen__Qwen2.5-7B-Instruct/cross_task_head_similarity_topk.json,96,28,0.391304,0.465649,0.511811,0.556630,0.655172,0.882353,0.126087
Qwen2.5-7B,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/Qwen__Qwen2.5-7B-Instruct/cross_task_head_similarity_topk.json,128,28,0.438202,0.535325,0.615158,0.648022,0.756448,0.924812,0.134368
OLMo-7B-Instruct,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/allenai__OLMo-7B-Instruct-hf/cross_task_head_similarity_topk.json,8,28,0.230769,0.333333,0.454545,0.469730,0.490909,0.777778,0.178150
OLMo-7B-Instruct,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/allenai__OLMo-7B-Instruct-hf/cross_task_head_similarity_topk.json,16,28,0.391304,0.438735,0.454545,0.536593,0.600000,0.882353,0.145432
OLMo-7B-Instruct,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/allenai__OLMo-7B-Instruct-hf/cross_task_head_similarity_topk.json,32,28,0.391304,0.488372,0.523810,0.570628,0.684211,0.882353,0.126924
OLMo-7B-Instruct,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/allenai__OLMo-7B-Instruct-hf/cross_task_head_similarity_topk.json,48,28,0.454545,0.500000,0.573770,0.603500,0.684211,0.882353,0.124008
OLMo-7B-Instruct,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/allenai__OLMo-7B-Instruct-hf/cross_task_head_similarity_topk.json,64,28,0.523810,0.575429,0.662338,0.675444,0.753425,0.939394,0.109214
OLMo-7B-Instruct,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/allenai__OLMo-7B-Instruct-hf/cross_task_head_similarity_topk.json,96,28,0.600000,0.641026,0.714286,0.718610,0.781931,0.959184,0.087746
OLMo-7B-Instruct,/Users/ananyaanand/Downloads/qr_scoring/results/comparison_ablation/allenai__OLMo-7B-Instruct-hf/cross_task_head_similarity_topk.json,128,28,0.620253,0.703841,0.777778,0.760016,0.793362,0.910448,0.069281
