Method,Task,K=0,K=8,K=16,K=32
QRScore-8B-LME-TRAIN,OVERALL,0.9115,0.6510,0.2500,0.1927
QRScore-8B-LME-TRAIN,registrant_name,1.0000,0.9167,0.7083,0.1667
QRScore-8B-LME-TRAIN,headquarters_city,0.9583,0.6667,0.2083,0.2917
QRScore-8B-LME-TRAIN,headquarters_state,0.8333,0.7083,0.3750,0.2500
QRScore-8B-LME-TRAIN,incorporation_state,1.0000,1.0000,0.4583,0.5000
QRScore-8B-LME-TRAIN,incorporation_year,0.8333,0.7500,0.0417,0.0833
QRScore-8B-LME-TRAIN,employees_count_total,0.9583,0.5417,0.0000,0.0000
QRScore-8B-LME-TRAIN,ceo_lastname,0.9167,0.1667,0.1250,0.0417
QRScore-8B-LME-TRAIN,holder_record_amount,0.7917,0.4583,0.0833,0.2083
QRScore-8B-NQ-TRAIN,OVERALL,0.9115,0.9010,0.8594,0.7708
QRScore-8B-NQ-TRAIN,registrant_name,1.0000,1.0000,0.9583,0.9583
QRScore-8B-NQ-TRAIN,headquarters_city,0.9583,0.9583,0.9583,0.8333
QRScore-8B-NQ-TRAIN,headquarters_state,0.8333,0.8333,0.9167,0.9167
QRScore-8B-NQ-TRAIN,incorporation_state,1.0000,0.9583,1.0000,1.0000
QRScore-8B-NQ-TRAIN,incorporation_year,0.8333,0.8750,0.8750,0.8333
QRScore-8B-NQ-TRAIN,employees_count_total,0.9583,0.9167,0.7917,0.4583
QRScore-8B-NQ-TRAIN,ceo_lastname,0.9167,0.9167,0.8333,0.7083
QRScore-8B-NQ-TRAIN,holder_record_amount,0.7917,0.7500,0.5417,0.4583
QRScore-SEC,OVERALL,0.9115,0.5521,0.3958,0.2969
QRScore-SEC,registrant_name,1.0000,0.9167,0.7500,0.6250
QRScore-SEC,headquarters_city,0.9583,0.6250,0.3750,0.3333
QRScore-SEC,headquarters_state,0.8333,0.7500,0.7083,0.4583
QRScore-SEC,incorporation_state,1.0000,0.7917,0.6667,0.5833
QRScore-SEC,incorporation_year,0.8333,0.6250,0.4167,0.2083
QRScore-SEC,employees_count_total,0.9583,0.1667,0.0417,0.0000
QRScore-SEC,ceo_lastname,0.9167,0.2083,0.0000,0.0000
QRScore-SEC,holder_record_amount,0.7917,0.3333,0.2083,0.1667
Random-seed123,OVERALL,0.9115,0.9062,0.8802,0.8958
Random-seed123,registrant_name,1.0000,0.9583,0.9583,0.9583
Random-seed123,headquarters_city,0.9583,0.9583,0.9167,0.9583
Random-seed123,headquarters_state,0.8333,0.8333,0.8333,0.8333
Random-seed123,incorporation_state,1.0000,1.0000,0.9583,1.0000
Random-seed123,incorporation_year,0.8333,0.8750,0.8333,0.8750
Random-seed123,employees_count_total,0.9583,0.9583,0.9583,0.9167
Random-seed123,ceo_lastname,0.9167,0.9583,0.8750,0.9583
Random-seed123,holder_record_amount,0.7917,0.7083,0.7083,0.6667
Random-seed42,OVERALL,0.9115,0.9010,0.8958,0.8802
Random-seed42,registrant_name,1.0000,0.9583,1.0000,0.9583
Random-seed42,headquarters_city,0.9583,0.9583,0.9583,0.9583
Random-seed42,headquarters_state,0.8333,0.8750,0.8333,0.7917
Random-seed42,incorporation_state,1.0000,1.0000,0.9583,1.0000
Random-seed42,incorporation_year,0.8333,0.8333,0.8333,0.8750
Random-seed42,employees_count_total,0.9583,0.8750,0.8750,0.9167
Random-seed42,ceo_lastname,0.9167,0.9167,0.9167,0.8750
Random-seed42,holder_record_amount,0.7917,0.7917,0.7917,0.6667
Random-seed456,OVERALL,0.9115,0.8854,0.8698,0.8490
Random-seed456,registrant_name,1.0000,0.9583,1.0000,0.9583
Random-seed456,headquarters_city,0.9583,0.9583,0.9583,0.9583
Random-seed456,headquarters_state,0.8333,0.7917,0.7917,0.7500
Random-seed456,incorporation_state,1.0000,1.0000,1.0000,1.0000
Random-seed456,incorporation_year,0.8333,0.8333,0.7500,0.7500
Random-seed456,employees_count_total,0.9583,0.8750,0.8750,0.9583
Random-seed456,ceo_lastname,0.9167,0.9167,0.9167,0.7917
Random-seed456,holder_record_amount,0.7917,0.7500,0.6667,0.6250
