Method,Task,Baseline(K=0),Drop@K=8,Drop@K=16,Drop@K=32,Drop@K=48,Drop@K=64,Drop@K=96,Drop@K=128
QRScore-8B-LME-TRAIN,OVERALL,0.8921,0.0083,0.0249,0.0332,0.1162,0.1286,0.3485,0.7054
QRScore-8B-LME-TRAIN,registrant_name,0.9756,0.0000,0.0244,0.0488,0.1463,0.1951,0.3171,0.7317
QRScore-8B-LME-TRAIN,headquarters_city,0.9286,0.0000,0.0000,0.0357,0.1429,0.1429,0.3214,0.6786
QRScore-8B-LME-TRAIN,headquarters_state,0.8519,0.0370,0.0370,-0.0370,0.0000,0.0741,0.4074,0.7778
QRScore-8B-LME-TRAIN,incorporation_state,0.9688,0.0312,0.0625,0.0625,0.1250,0.0625,0.4688,0.9062
QRScore-8B-LME-TRAIN,incorporation_year,0.8667,0.0000,0.0333,0.0000,0.0667,0.1000,0.5333,0.7333
QRScore-8B-LME-TRAIN,employees_count_total,0.9583,0.0000,0.0000,0.0417,0.1250,0.2083,0.4167,0.7500
QRScore-8B-LME-TRAIN,ceo_lastname,0.9429,0.0000,0.0286,0.0571,0.1429,0.2000,0.2571,0.6000
QRScore-8B-LME-TRAIN,holder_record_amount,0.5417,0.0000,0.0000,0.0417,0.1667,0.0000,0.0417,0.4167
QRScore-SEC,OVERALL,0.8921,0.2905,0.5519,0.7054,0.8091,0.7967,0.8257,0.8838
QRScore-SEC,registrant_name,0.9756,0.1220,0.0976,0.2195,0.5610,0.6829,0.8537,0.9756
QRScore-SEC,headquarters_city,0.9286,0.2143,0.6786,0.8571,0.9286,0.8929,0.8929,0.9286
QRScore-SEC,headquarters_state,0.8519,0.1111,0.3333,0.7037,0.8519,0.7407,0.8148,0.8148
QRScore-SEC,incorporation_state,0.9688,0.3125,0.6875,0.9375,0.9688,0.8750,0.8125,0.9688
QRScore-SEC,incorporation_year,0.8667,0.3667,0.8333,0.8333,0.8667,0.8667,0.8667,0.8667
QRScore-SEC,employees_count_total,0.9583,0.8750,0.9167,0.9167,0.9167,0.9167,0.9583,0.9167
QRScore-SEC,ceo_lastname,0.9429,0.0571,0.5429,0.8000,0.8857,0.8571,0.8286,0.9429
QRScore-SEC,holder_record_amount,0.5417,0.5000,0.5417,0.5417,0.5417,0.5417,0.5417,0.5417
